ontime_boost,default_penalty,total_extensions,total_profit,default_rate_pct,pct_excellent,pct_poor
0.5,5.0,52234,673501.1403442753,0.6375157943102194,42.75,6.32
0.5,10.0,52249,671992.6046489136,0.6335049474631094,42.70666666666666,6.516666666666667
0.5,20.0,52241,675363.4851811968,0.6336019601462453,42.71666666666666,6.653333333333333
2.0,5.0,52431,692742.0126212807,0.6255841010089451,49.14666666666667,5.42
2.0,10.0,52388,690592.8959558664,0.6165534091776743,49.193333333333335,5.666666666666666
2.0,20.0,52422,696556.4845802652,0.6161535233298997,49.15,5.783333333333333
5.0,5.0,52626,664309.0318656188,0.6175654619389656,61.92666666666666,5.38
5.0,10.0,52591,679442.6404051181,0.5951588674868323,61.92666666666666,5.586666666666667
5.0,20.0,52561,668594.1252696533,0.6069138715016837,61.980000000000004,5.723333333333333
